iter	RMSE
0	1.077723811
1	1.060773625
2	1.044425494
3	1.029329482
4	1.013319008
5	0.998472607
6	0.9838532535
7	0.9695371831
8	0.9542233756
9	0.9413326242
10	0.9284469773
11	0.9135934881
12	0.8992267987
13	0.8875059862
14	0.8772502854
15	0.8634927878
16	0.8489677423
17	0.8362317967
18	0.8238646841
19	0.8122457304
20	0.8015067544
21	0.7914593946
22	0.7786481671
23	0.7664197113
24	0.7545669186
25	0.7430709853
26	0.7327916416
27	0.7224059613
28	0.7132164504
29	0.7037737865
30	0.6946630401
31	0.682851486
32	0.6754004318
33	0.6667007796
34	0.656926627
35	0.6476640171
36	0.6403907181
37	0.6307152006
38	0.6209744025
39	0.6136625568
40	0.6048626859
41	0.5979095664
42	0.5917523589
43	0.5826023706
44	0.5753325559
45	0.567924787
46	0.5606502327
47	0.5522989988
48	0.5447270876
49	0.5371414228
50	0.5305382918
51	0.5238222046
52	0.5170570858
53	0.5094324015
54	0.5026850742
55	0.4956890134
56	0.4885745472
57	0.4827723417
58	0.4767683948
59	0.4700455968
60	0.4644457604
61	0.4593895532
62	0.4528565422
63	0.4458605062
64	0.4405085337
65	0.4349346189
66	0.4306365234
67	0.4252031971
68	0.420332055
69	0.4151715263
70	0.408850023
71	0.4041842478
72	0.3991300762
73	0.3945228504
74	0.3897735553
75	0.3855380601
76	0.3807800422
77	0.3764809999
78	0.3720879011
79	0.3679261583
80	0.3634386114
81	0.3594383871
82	0.3554119034
83	0.3510483196
84	0.3461640844
85	0.3426333508
86	0.3387404001
87	0.3344681035
88	0.3311139754
89	0.3276133616
90	0.32356543
91	0.3200625031
92	0.3167615817
93	0.3131949806
94	0.3097672259
95	0.3069163723
96	0.3040632548
97	0.3005514811
98	0.2974707297
99	0.2938286991
100	0.2904439202
101	0.2875047306
102	0.2847262354
103	0.2819465856
104	0.2786213307
105	0.275587282
106	0.2727424755
107	0.2703058618
108	0.2678156855
109	0.2647399236
110	0.2619096018
111	0.2593456507
112	0.2563802023
113	0.2536213005
114	0.2508921724
115	0.2484326751
116	0.2458524387
117	0.2437440187
118	0.2412456189
119	0.2391052185
120	0.2373431827
121	0.2349730293
122	0.2333614417
123	0.2312120723
124	0.2289868965
125	0.2271041577
126	0.2248802271
127	0.2230999919
128	0.22114685
129	0.2191937692
130	0.2174024057
131	0.2154205299
132	0.2139417862
133	0.2121808952
134	0.2104923511
135	0.2091044147
136	0.2073519902
137	0.2056147269
138	0.203821839
139	0.2022962679
140	0.2002492242
141	0.1984745435
142	0.1969239228
143	0.1953470513
144	0.1937951816
145	0.192202642
146	0.1905893346
147	0.1893223637
148	0.1879896158
149	0.1866381955
150	0.185386947
151	0.1840719889
152	0.1821032774
153	0.1806351183
154	0.1795046527
155	0.1780660433
156	0.1763336419
157	0.1749488297
158	0.1734846286
159	0.1718819217
160	0.170356283
161	0.1688743664
162	0.1677390771
163	0.1664446941
164	0.1651602737
165	0.163915693
166	0.1624516136
167	0.1611113967
168	0.1597585104
169	0.1582689587
170	0.1571585545
171	0.1560952139
172	0.1550091272
173	0.1537421425
174	0.1527316524
175	0.151637962
176	0.1503322246
177	0.1493691159
178	0.1483148231
179	0.1474673634
180	0.146465429
181	0.1452679909
182	0.1439522898
183	0.1429984373
184	0.1421158005
185	0.141065853
186	0.140072657
187	0.1390558337
188	0.1380802904
189	0.1371626561
190	0.1361379354
191	0.1351954494
192	0.1341842977
193	0.1332583445
194	0.132216459
195	0.1313077228
196	0.1305763533
197	0.1297348198
198	0.1288504396
199	0.1278767345
200	0.12706789
201	0.1260935543
202	0.1251916558
203	0.1247078127
204	0.1238544596
205	0.1230503302
206	0.1222085335
207	0.1214416084
208	0.1205791633
209	0.1198083841
210	0.1187960503
211	0.1180445182
212	0.1171102737
213	0.1162799311
214	0.1155747667
215	0.1148727602
216	0.1140252101
217	0.1136144
218	0.1129838276
219	0.1120495147
220	0.1112265017
221	0.1103819528
222	0.1095586568
223	0.108858469
224	0.1081416547
225	0.1074903871
226	0.1068394479
227	0.106157612
228	0.1054764137
229	0.10473909
230	0.103909028
231	0.1031197599
232	0.1024824912
233	0.101943463
234	0.1014142227
235	0.1005719836
236	0.09992457832
237	0.09922666549
238	0.09859000025
239	0.09781270282
240	0.09716666229
241	0.09634332356
242	0.09575639882
243	0.09508844724
244	0.09443057929
245	0.09399520785
246	0.09337471786
247	0.09290078125
248	0.0924282412
249	0.09187565576
250	0.09131083166
251	0.0908666892
252	0.09031185963
253	0.08974918201
254	0.08916924357
255	0.08865394474
256	0.08801419912
257	0.08760761058
258	0.08722689779
259	0.08655856285
260	0.08597536093
261	0.08550721931
262	0.08488958322
263	0.08449006374
264	0.08414557736
265	0.08372328988
266	0.08315556456
267	0.08257952553
268	0.08214899394
269	0.08176751813
270	0.08121678567
271	0.08069225554
272	0.0803876863
273	0.08006597368
274	0.07959003553
275	0.07920759465
276	0.07871999017
277	0.07841969037
278	0.07789883518
279	0.07741464728
280	0.07706770406
281	0.07654276339
282	0.07591150769
283	0.07541575156
284	0.07495966191
285	0.07462316955
286	0.07432809492
287	0.07384145914
288	0.07341154835
289	0.07316651319
290	0.07279588286
291	0.07244165822
292	0.07209414623
293	0.07180953802
294	0.07157327598
295	0.07107755998
296	0.07055406542
297	0.07038797589
298	0.07016042798
299	0.06972310417
300	0.06934790381
301	0.0690482681
302	0.068635473
303	0.06827985131
304	0.06798307117
305	0.06772560016
306	0.06739513427
307	0.06702832743
308	0.06695808824
309	0.0665344469
310	0.06620971727
311	0.06596801674
312	0.06574330513
313	0.0653204514
314	0.06501432205
315	0.06468843642
316	0.06438521895
317	0.06425949299
318	0.06385308934
319	0.06341971661
320	0.06313158201
321	0.06297590328
322	0.0626725742
323	0.06226508296
324	0.06197492347
325	0.06166021264
326	0.06134418484
327	0.061249099
328	0.06095417976
329	0.06061254799
330	0.06021466899
331	0.0598809608
332	0.05947396989
333	0.05939304014
334	0.05901146064
335	0.05858829812
336	0.05825558084
337	0.0581533151
338	0.0578100717
339	0.05770540605
340	0.05757047634
341	0.05736223695
342	0.05712434599
343	0.05695279453
344	0.05683943192
345	0.05661370179
346	0.05655157445
347	0.05619928742
348	0.05596696417
349	0.05564934324
350	0.05536164038
351	0.0551371453
352	0.05498405276
353	0.05482505432
354	0.05441358725
355	0.05428786791
356	0.05407514276
357	0.0539974467
358	0.05393297833
359	0.05364493629
360	0.05339770802
361	0.05321585148
362	0.05296117102
363	0.05276296948
364	0.05246794711
365	0.05241360678
366	0.05214703832
367	0.05208008152
368	0.05179335541
369	0.05160229907
370	0.05145672945
371	0.05136376717
372	0.05112607938
373	0.05079034027
374	0.05065270851
375	0.05043139122
376	0.05026638027
377	0.0499961084
378	0.04991930557
379	0.04970036154
380	0.04965031192
381	0.04938037301
382	0.04914319755
383	0.0490279588
384	0.04890571306
385	0.0487105638
386	0.04858879782
387	0.04849333298
388	0.04839875828
389	0.04820288519
390	0.04815506608
391	0.04809478774
392	0.04804866975
393	0.0479512239
394	0.04790454566
395	0.0477080431
396	0.04761645796
397	0.04756944629
398	0.04728613661
399	0.04705830977
400	0.04684225095
401	0.0465794744
402	0.04649240858
403	0.0462777782
404	0.04604252437
405	0.04582717119
406	0.0457414863
407	0.04570093845
408	0.04562739086
409	0.04547364097
410	0.04520578181
411	0.04505124783
412	0.04478806204
413	0.04455640847
414	0.04439788965
415	0.04421789176
416	0.04418100233
417	0.04403996213
418	0.04379147784
419	0.04358353632
420	0.04350381516
421	0.04337212728
422	0.04328528742
423	0.04317586823
424	0.0430325888
425	0.0429381031
426	0.04289093352
427	0.04285915546
428	0.0426401825
429	0.04242394088
430	0.04234844077
431	0.04211667756
432	0.04191645733
433	0.04181702331
434	0.04159364125
435	0.04146974725
436	0.04126597813
437	0.04112628855
438	0.04105216249
439	0.04099688737
440	0.04074849665
441	0.0404671931
442	0.04038673907
443	0.04007918665
444	0.03989391104
445	0.03986037444
446	0.03965947874
447	0.03961041073
448	0.03944485582
449	0.03920729978
450	0.03915097285
451	0.0388787049
452	0.03872991642
453	0.03856025712
454	0.03837080946
455	0.03828799324
456	0.0382058678
457	0.03814715983
458	0.03788313597
459	0.03777069668
460	0.03764233715
461	0.03760211204
462	0.03755951446
463	0.03741540951
464	0.03736621123
465	0.0372311609
466	0.03713667703
467	0.0370549463
468	0.03698257061
469	0.03689433135
470	0.03668528247
471	0.03665898866
472	0.03654040605
473	0.03629866167
474	0.03625111773
475	0.03619543125
476	0.03614392319
477	0.03599339361
478	0.03591442661
479	0.03576064259
480	0.03566908757
481	0.0356469518
482	0.03561135433
483	0.03537529114
484	0.0353564537
485	0.03517790091
486	0.03513313777
487	0.0350250971
488	0.03480032843
489	0.03470406292
490	0.03454134733
491	0.03432566091
492	0.03428708487
493	0.03411907456
494	0.03393456781
495	0.03383746525
496	0.03370018369
497	0.03356364347
498	0.03338998576
499	0.03321465707
500	0.03312517206
501	0.03299887511
502	0.03296915569
503	0.03286846952
504	0.0327172464
505	0.03258043394
506	0.03246241917
507	0.032344725
508	0.03232068888
509	0.03225097273
510	0.03212460641
511	0.03198660048
512	0.03196736975
513	0.03189795718
514	0.03185317644
515	0.03182879416
516	0.03180207049
517	0.0316528016
518	0.03149514404
519	0.03143452517
520	0.03136877942
521	0.03117754776
522	0.03111395724
523	0.03106067706
524	0.03096855853
525	0.0308392245
526	0.03074626369
527	0.03067004223
528	0.03050885735
529	0.03036360821
530	0.03029384273
531	0.03024213269
532	0.03019453993
533	0.03014816943
534	0.03011398451
535	0.03003938433
536	0.03000665117
537	0.02995894496
538	0.02990755657
539	0.02984804792
540	0.02973573521
541	0.02960919987
542	0.02949150474
543	0.02936914541
544	0.02929296307
545	0.02924950045
546	0.02913268353
547	0.02905283474
548	0.02893331023
549	0.02878894674
550	0.02869348595
551	0.02864559969
552	0.02861308374
553	0.02851927969
554	0.02839356037
555	0.02828758064
556	0.02819638813
557	0.02813458474
558	0.02803613111
559	0.02791148587
560	0.02781441447
561	0.02777426774
562	0.02767572434
563	0.02763823354
564	0.02755560017
565	0.02746558676
566	0.02742924191
567	0.02735448068
568	0.02733033265
569	0.02725055192
570	0.02713937362
571	0.02707917786
572	0.02704886637
573	0.02690852875
574	0.02683356889
575	0.0267212045
576	0.02667578968
577	0.02663706483
578	0.02652941783
579	0.02649891552
580	0.02643978291
581	0.02638694312
582	0.0263051055
583	0.02621324609
584	0.02613819886
585	0.02603643985
586	0.0260109158
587	0.02592848759
588	0.02588590464
589	0.02583062067
590	0.02568477974
591	0.02555848254
592	0.02543410374
593	0.02540448237
594	0.02534248375
595	0.02523211752
596	0.02509598624
597	0.02499603252
598	0.02486543064
599	0.02478140002
600	0.02463315294
601	0.02453952476
602	0.02446479998
603	0.02437228845
604	0.02427371219
605	0.02424396032
606	0.0241956893
607	0.0241690653
608	0.0240806982
609	0.02401014682
610	0.02395834543
611	0.02389554573
612	0.02384029588
613	0.02379684362
614	0.02373767474
615	0.02362905424
616	0.02354783842
617	0.02348214582
618	0.02344483536
619	0.02341766597
620	0.02336539235
621	0.02333562791
622	0.02328258134
623	0.02324256451
624	0.02314197326
625	0.0230585935
626	0.0230102306
627	0.02291088763
628	0.02282289338
629	0.02276780197
630	0.02270515402
631	0.02258922217
632	0.02256588043
633	0.02247065429
634	0.02237752273
635	0.02232059849
636	0.02222954276
637	0.02212767493
638	0.02203969374
639	0.0220046573
640	0.02191626932
641	0.02180505749
642	0.02178029301
643	0.02169843677
644	0.02158691106
645	0.02154899651
646	0.02143648433
647	0.02134160619
648	0.02130556325
649	0.02123434393
650	0.02115590651
651	0.02112289767
652	0.02104488159
653	0.02099980298
654	0.02090911558
655	0.0208856876
656	0.02078435553
657	0.02068915681
658	0.02066014411
659	0.02057829826
660	0.0205147103
661	0.02046691103
662	0.02042232417
663	0.02039399579
664	0.02036360693
665	0.02030859889
666	0.0202723589
667	0.02021075291
668	0.02014688183
669	0.02007985939
670	0.02001283006
671	0.01993810383
672	0.01985203272
673	0.01981914509
674	0.01971756763
675	0.01964803131
676	0.01961284684
677	0.01955297233
678	0.01945926236
679	0.01942710006
680	0.01937393827
681	0.01933799714
682	0.01928702291
683	0.01925344212
684	0.01920184874
685	0.01912229072
686	0.01909743691
687	0.0190141439
688	0.01896826559
689	0.01887418806
690	0.01884220929
691	0.01879667077
692	0.01876039585
693	0.01866704551
694	0.01864357332
695	0.01860551479
696	0.01858102847
697	0.01850458498
698	0.01843402759
699	0.01839529814
700	0.01834931986
701	0.01829020081
702	0.01825114348
703	0.01817586664
704	0.01810485568
705	0.01807052775
706	0.01805380517
707	0.01800860256
708	0.0179778401
709	0.0179126826
710	0.01786692408
711	0.01780246572
712	0.0177765847
713	0.01772750403
714	0.01765771709
715	0.01756711034
716	0.01754002449
717	0.01746600949
718	0.01740017841
719	0.01733698368
720	0.01725386219
721	0.01722617588
722	0.01717469546
723	0.01714022492
724	0.01711163621
725	0.01709242693
726	0.01703132456
727	0.01699991484
728	0.01692603194
729	0.01684335802
730	0.01681114205
731	0.01679271843
732	0.01676672955
733	0.01674687027
734	0.01668009608
735	0.01661911043
736	0.01656860482
737	0.01649113793
738	0.01643848695
739	0.01639744466
740	0.01631893515
741	0.0162578163
742	0.0162439764
743	0.01617729676
744	0.01613572968
745	0.01611715149
746	0.01610586437
747	0.0160790598
748	0.01602621059
749	0.01598030192
750	0.01596216631
751	0.01591301369
752	0.01588146224
753	0.01580861524
754	0.01574775313
755	0.01572925558
756	0.01566646042
757	0.01562166707
758	0.01560462043
759	0.01556364009
760	0.01552799215
761	0.01548734131
762	0.01545589693
763	0.0153848335
764	0.01531783515
765	0.01526412364
766	0.01524647921
767	0.01522017508
768	0.01519480061
769	0.0151435042
770	0.01511364411
771	0.01505449626
772	0.01500804734
773	0.01499761274
774	0.01495211373
775	0.01493192896
776	0.01488078901
777	0.01484699319
778	0.01479422797
779	0.01476781869
780	0.01475612033
781	0.01471790539
782	0.01466102717
783	0.01463300287
784	0.01460026195
785	0.01457589991
786	0.01455435406
787	0.01449422604
788	0.01442775584
789	0.01436077343
790	0.01433253602
791	0.01428598092
792	0.01424139534
793	0.01421735194
794	0.01420127029
795	0.01418244043
796	0.01417342067
797	0.01409817776
798	0.01404367047
799	0.01401154955
800	0.01392821519
801	0.01388242616
802	0.01382801936
803	0.01380543685
804	0.01375343331
805	0.01371343785
806	0.0136852695
807	0.01362895637
808	0.013593804
809	0.01357442505
810	0.01354072282
811	0.01348880732
812	0.01346943565
813	0.01343292938
814	0.01339649701
815	0.01336699426
816	0.01335006243
817	0.01333330901
818	0.01325887559
819	0.0132423307
820	0.01320057493
821	0.0131730258
822	0.01315164184
823	0.01310539843
824	0.01307770136
825	0.01300870042
826	0.01299454202
827	0.01298162914
828	0.01293670521
829	0.01290392425
830	0.01285536561
831	0.01282459191
832	0.0128109936
833	0.0128042779
834	0.01278006082
835	0.0127524084
836	0.01271488822
837	0.01269696909
838	0.012684031
839	0.01266635181
840	0.01265436677
841	0.01262086859
842	0.01257621092
843	0.01253434934
844	0.0124902699
845	0.01246758036
846	0.01243460788
847	0.01239383092
848	0.01235706178
849	0.01234667026
850	0.0123100417
851	0.0122479757
852	0.01219936617
853	0.01218027015
854	0.01213634857
855	0.012101613
856	0.01206914613
857	0.01200602544
858	0.0119827208
859	0.0119642873
860	0.01191979227
861	0.01188236782
862	0.01187116972
863	0.01184980928
864	0.01181053771
865	0.01177091929
866	0.01175825707
867	0.01174522987
868	0.01172520353
869	0.01168707147
870	0.01164295356
871	0.01161046804
872	0.01160038727
873	0.01155140413
874	0.01150648428
875	0.01145794535
876	0.01143710221
877	0.01142178427
878	0.01139400782
879	0.01136341297
880	0.01133015122
881	0.01131033633
882	0.01128021873
883	0.01125788004
884	0.01124654759
885	0.01123451133
886	0.01118406889
887	0.01114272368
888	0.01112346622
889	0.01108066634
890	0.01104934143
891	0.01100925546
892	0.01099959093
893	0.01097009672
894	0.01092598183
895	0.0108771285
896	0.01085246999
897	0.01081322304
898	0.01079189763
899	0.01073637647
900	0.01070802939
901	0.01066089491
902	0.01061353168
903	0.01059351745
904	0.01055026277
905	0.01051438085
906	0.0104935589
907	0.01044466066
908	0.01041705421
909	0.01040138509
910	0.01038500224
911	0.01037328106
912	0.01034261318
913	0.01032575813
914	0.01031681765
915	0.01029013036
916	0.01024714344
917	0.01021528507
918	0.01019067632
919	0.01017004668
920	0.01014563477
921	0.0101075879
922	0.01007644058
923	0.01004040327
924	0.01002927624
925	0.009996033851
926	0.00995782635
927	0.00992040209
928	0.009890047436
929	0.009855204349
930	0.009836630147
931	0.009809291114
932	0.009788266872
933	0.009780081114
934	0.009775582126
935	0.009762099782
936	0.009743161727
937	0.009703797525
938	0.009661262681
939	0.009632649996
940	0.009619529031
941	0.009591208765
942	0.009567266089
943	0.009553153892
944	0.009512439494
945	0.009469916997
946	0.009446324586
947	0.009429984255
948	0.009393982993
949	0.009349662516
950	0.009335867714
951	0.00929842385
952	0.009250147664
953	0.009237390824
954	0.009228818099
955	0.009221984396
956	0.009200735575
957	0.009180061413
958	0.00916278562
959	0.009129623379
960	0.009112266111
961	0.00908097483
962	0.009076765727
963	0.009054405145
964	0.009035864767
965	0.009017534646
966	0.008989215437
967	0.008976066582
968	0.00894589196
969	0.008923177219
970	0.008895538007
971	0.008869200747
972	0.008834579387
973	0.008822591774
974	0.008801442485
975	0.008781670291
976	0.0087751699
977	0.00874523856
978	0.008740708068
979	0.008728793483
980	0.008701346506
981	0.008666907953
982	0.008638181641
983	0.008608195716
984	0.008598299081
985	0.008592572189
986	0.008561701972
987	0.008526916281
988	0.008488499688
989	0.00845582563
990	0.008436262063
991	0.008406448067
992	0.00839361166
993	0.008378756115
994	0.008362152728
995	0.008349434652
996	0.008328207907
997	0.008293090867
998	0.008256748906
999	0.008249931366
1000	0.008221280426
1001	0.008210578659
1002	0.008194543244
1003	0.008169991106
1004	0.008159777205
1005	0.008148454858
1006	0.00811431645
1007	0.008107174258
1008	0.008098162051
1009	0.008064161712
1010	0.008026600134
1011	0.008013069403
1012	0.007987058731
1013	0.007974040278
1014	0.007963114755
1015	0.007951590318
1016	0.007946574069
1017	0.007933330322
1018	0.007908042291
1019	0.007884880672
1020	0.007863135016
1021	0.007841741746
1022	0.007813761664
1023	0.007794324658
1024	0.007773957847
1025	0.007749568141
1026	0.007729390929
1027	0.007706986243
1028	0.007692321282
1029	0.007677978466
1030	0.007653653294
1031	0.007634696884
1032	0.007618303094
1033	0.007610559742
1034	0.007596483931
1035	0.007577837452
1036	0.007553125201
1037	0.007544923645
1038	0.007509144994
1039	0.007498121298
1040	0.00747721638
1041	0.007466243504
1042	0.007431311193
1043	0.007414427859
1044	0.007397172396
1045	0.007377919979
1046	0.007365162125
1047	0.007345574491
1048	0.007342490478
1049	0.007322074845
1050	0.007295789026
1051	0.007273330573
1052	0.007267436521
1053	0.00725535033
1054	0.007249247241
1055	0.007220019754
1056	0.007190030029
1057	0.007156271128
1058	0.007147660012
1059	0.007127093388
1060	0.00710979805
1061	0.007098854788
1062	0.007069144948
1063	0.007048560352
1064	0.007032079415
1065	0.007012020531
1066	0.006973072557
1067	0.006949372963
1068	0.006931955375
1069	0.006922471591
1070	0.00689275217
1071	0.006860716122
1072	0.00684861144
1073	0.006840680541
1074	0.006823143061
1075	0.006801668675
1076	0.00679347944
1077	0.006784515601
1078	0.006762710903
1079	0.006737639201
1080	0.006713548477
1081	0.006684282137
1082	0.006665357375
1083	0.006658124592
1084	0.006649289083
1085	0.006640339024
1086	0.006623320645
1087	0.006614012485
1088	0.006591962208
1089	0.006581806125
1090	0.006568055233
1091	0.006553448102
1092	0.006536856601
1093	0.006521573464
1094	0.006505123649
1095	0.006486179609
1096	0.006482831277
1097	0.006465918878
1098	0.006438170924
1099	0.006427675443
1100	0.006403710172
1101	0.006390572576
1102	0.006380403628
1103	0.006355824265
1104	0.006344141741
1105	0.006320216078
1106	0.006296931874
1107	0.006262944795
1108	0.006251721456
1109	0.006246523736
1110	0.006217706578
1111	0.006197705012
1112	0.006183193929
1113	0.006172989696
1114	0.006150679022
1115	0.006127556867
1116	0.006121944001
1117	0.006099930772
1118	0.006091255204
1119	0.006071844179
1120	0.006048071231
1121	0.00603917799
1122	0.006024743276
1123	0.006016474695
1124	0.006009314781
1125	0.006002764203
1126	0.005984202147
1127	0.005977051511
1128	0.005966853918
1129	0.005937029734
1130	0.005932357583
1131	0.00590554915
1132	0.005877937486
1133	0.005855087701
1134	0.005845011303
1135	0.005826521839
1136	0.00580478027
1137	0.005797048643
1138	0.005788721768
1139	0.005761840108
1140	0.005748388836
1141	0.005728881338
1142	0.005720072602
1143	0.005691923767
1144	0.005667561882
1145	0.005660900232
1146	0.005646847988
1147	0.005641611353
1148	0.00562434063
1149	0.005618026456
1150	0.005602213022
1151	0.005586067453
1152	0.005579283528
1153	0.005558989212
1154	0.005539752715
1155	0.005528237737
1156	0.005507222253
1157	0.005479212327
1158	0.005459951302
1159	0.005441562342
1160	0.005433167752
1161	0.005415908751
1162	0.00539329584
1163	0.00537159425
1164	0.005363522503
1165	0.005335502455
1166	0.005328873767
1167	0.005319242375
1168	0.00529593654
1169	0.005290255531
1170	0.005272400794
1171	0.005255632239
1172	0.005245147015
1173	0.005223707681
1174	0.005208036267
1175	0.005191894939
1176	0.005181487286
1177	0.005170893624
1178	0.005157286216
1179	0.005141151414
1180	0.005133538034
1181	0.005127616679
1182	0.005121065264
1183	0.005101196414
1184	0.005084853994
1185	0.005065530449
1186	0.005045221972
1187	0.005036737615
1188	0.005032953699
1189	0.005026626581
1190	0.005009843935
1191	0.004997661764
1192	0.004994402022
1193	0.004973651873
1194	0.004956414864
1195	0.004948431845
1196	0.004935317855
1197	0.004924772553
1198	0.004909405355
1199	0.004888703452
