,time,temp,humi,pres
122,2026-01-25 06:48:02,28.6,74,1016.701
123,2026-01-25 06:53:02,28.9,74,1016.787
124,2026-01-25 06:58:02,29.0,73,1016.879
125,2026-01-25 07:03:02,29.1,73,1016.864
126,2026-01-25 07:08:02,29.1,73,1016.904
127,2026-01-25 07:13:02,29.0,73,1016.929
128,2026-01-25 07:18:02,29.0,73,1016.959
129,2026-01-25 07:23:02,29.0,73,1017.043
130,2026-01-25 07:28:02,29.0,73,1017.0
131,2026-01-25 07:33:02,29.0,73,1017.018
132,2026-01-25 07:38:02,28.9,73,1017.07
133,2026-01-25 07:43:02,28.7,74,1017.186
134,2026-01-25 07:48:02,28.5,75,1017.127
135,2026-01-25 07:53:02,28.3,75,1017.162
136,2026-01-25 07:58:02,28.3,75,1017.216
137,2026-01-25 08:03:02,28.3,75,1017.252
138,2026-01-25 08:08:02,28.0,76,1017.335
139,2026-01-25 08:13:02,28.1,76,1017.428
140,2026-01-25 08:18:02,28.0,76,1017.469
141,2026-01-25 08:23:02,28.0,76,1017.515
142,2026-01-25 08:28:02,28.1,75,1017.612
143,2026-01-25 08:33:02,28.1,76,1017.64
144,2026-01-25 08:38:02,28.0,76,1017.743
145,2026-01-25 08:43:02,27.7,77,1017.889
146,2026-01-25 08:48:02,27.8,77,1017.97
147,2026-01-25 08:53:02,27.8,77,1018.072
148,2026-01-25 08:58:02,27.9,76,1018.11
149,2026-01-25 09:03:02,27.8,77,1018.098
150,2026-01-25 09:08:02,27.8,77,1018.146
151,2026-01-25 09:13:02,27.9,77,1018.163
152,2026-01-25 09:18:02,27.7,77,1018.241
153,2026-01-25 09:23:02,27.7,77,1018.29
154,2026-01-25 09:28:02,27.8,77,1018.341
155,2026-01-25 09:33:02,27.9,77,1018.365
156,2026-01-25 09:38:02,28.3,77,1018.396
157,2026-01-25 09:43:02,28.3,76,1018.428
158,2026-01-25 09:48:02,28.3,76,1018.508
159,2026-01-25 09:53:02,28.5,75,1018.517
160,2026-01-25 09:58:02,28.3,75,1018.512
161,2026-01-25 10:03:02,28.1,76,1018.564
162,2026-01-25 10:08:02,28.3,76,1018.582
163,2026-01-25 10:13:02,28.6,75,1018.602
164,2026-01-25 10:18:02,28.6,75,1018.595
165,2026-01-25 10:23:02,28.7,75,1018.525
166,2026-01-25 10:28:02,28.6,75,1018.474
167,2026-01-25 10:33:02,28.7,74,1018.483
168,2026-01-25 10:38:02,28.7,75,1018.46
169,2026-01-25 10:43:02,28.7,74,1018.404
170,2026-01-25 10:48:02,28.9,73,1018.368
171,2026-01-25 10:53:02,28.9,73,1018.313
172,2026-01-25 10:58:02,28.9,73,1018.224
173,2026-01-25 11:03:02,29.0,72,1018.203
174,2026-01-25 11:08:02,29.1,72,1018.284
175,2026-01-25 11:13:02,29.1,72,1018.254
176,2026-01-25 11:18:02,29.3,71,1018.199
177,2026-01-25 11:23:02,29.4,69,1018.227
178,2026-01-25 11:28:02,29.5,69,1018.211
179,2026-01-25 11:33:02,29.7,68,1018.16
180,2026-01-25 11:38:02,29.5,69,1018.1
181,2026-01-25 11:43:02,29.3,69,1018.097
182,2026-01-25 11:48:02,29.2,70,1018.068
183,2026-01-25 11:53:02,29.3,70,1017.929
184,2026-01-25 11:58:02,29.2,70,1017.857
185,2026-01-25 12:03:02,29.2,69,1017.757
186,2026-01-25 12:08:02,29.3,69,1017.717
187,2026-01-25 12:13:02,29.6,68,1017.707
188,2026-01-25 12:18:02,29.5,68,1017.613
189,2026-01-25 12:23:02,29.6,68,1017.582
190,2026-01-25 12:28:02,29.7,69,1017.582
191,2026-01-25 12:33:02,29.7,68,1017.56
192,2026-01-25 12:38:02,29.7,68,1017.383
193,2026-01-25 12:43:02,30.3,68,1017.377
194,2026-01-25 12:48:02,30.9,66,1017.357
195,2026-01-25 12:53:02,30.5,67,1017.386
196,2026-01-25 12:58:02,30.3,68,1017.356
197,2026-01-25 13:03:02,30.2,68,1017.242
198,2026-01-25 13:08:02,30.3,67,1017.28
199,2026-01-25 13:13:02,30.4,67,1017.136
200,2026-01-25 13:18:02,30.5,66,1017.097
201,2026-01-25 13:23:02,30.5,66,1017.075
202,2026-01-25 13:28:02,30.5,66,1017.007
203,2026-01-25 13:33:02,30.6,66,1016.952
204,2026-01-25 13:38:02,30.6,65,1016.919
205,2026-01-25 13:43:02,30.8,64,1016.898
206,2026-01-25 13:48:02,30.7,64,1016.88
207,2026-01-25 13:53:02,30.6,64,1016.75
208,2026-01-25 13:58:02,30.6,64,1016.72
209,2026-01-25 14:03:02,30.6,64,1016.587
210,2026-01-25 14:08:02,30.5,64,1016.586
211,2026-01-25 14:13:02,30.4,64,1016.391
212,2026-01-25 14:18:02,30.3,65,1016.355
213,2026-01-25 14:23:02,30.2,66,1016.299
214,2026-01-25 14:28:02,30.2,66,1016.124
215,2026-01-25 14:33:02,30.0,66,1016.043
216,2026-01-25 14:38:02,30.0,67,1015.942
217,2026-01-25 14:43:02,30.3,66,1015.908
218,2026-01-25 14:48:02,30.3,67,1015.727
219,2026-01-25 14:53:02,30.3,67,1015.718
220,2026-01-25 14:58:02,30.3,67,1015.633
221,2026-01-25 15:03:02,30.4,67,1015.618
222,2026-01-25 15:08:02,30.4,67,1015.58
223,2026-01-25 15:13:02,30.3,67,1015.616
224,2026-01-25 15:18:02,30.3,67,1015.503
225,2026-01-25 15:23:02,30.2,67,1015.438
226,2026-01-25 15:28:02,30.2,67,1015.397
227,2026-01-25 15:33:02,30.4,66,1015.41
228,2026-01-25 15:38:02,30.5,66,1015.317
229,2026-01-25 15:43:02,30.5,67,1015.374
230,2026-01-25 15:48:02,30.1,68,1015.279
231,2026-01-25 15:53:02,29.9,68,1015.201
232,2026-01-25 15:58:02,30.0,68,1015.249
233,2026-01-25 16:03:02,30.1,68,1015.243
234,2026-01-25 16:08:02,30.4,67,1015.131
235,2026-01-25 16:13:02,30.3,67,1015.207
236,2026-01-25 16:18:02,30.5,67,1015.138
237,2026-01-25 16:23:02,30.6,67,1015.087
238,2026-01-25 16:28:02,30.7,66,1015.065
239,2026-01-25 16:33:02,30.7,66,1015.139
240,2026-01-25 16:38:02,30.8,66,1015.132
241,2026-01-25 16:43:02,30.6,66,1015.237
242,2026-01-25 16:48:02,30.7,66,1015.212
243,2026-01-25 16:53:02,30.7,66,1015.239
244,2026-01-25 16:58:02,30.9,65,1015.198
245,2026-01-25 17:03:02,31.1,64,1015.286
